"GeneName"	"GeneID"	"Weeks"	"Region"	"Expression"	"Type"	"Numeric"	"NumericWeeks"	"lower"	"upper"
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"basal ganglion"	6.06608919045777	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"brain fragment"	0.678071905112638	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"cerebellum"	2	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"cerebral cortex"	6.4757334309664	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"choroid plexus"	2	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"diencephalon"	4.24792751344359	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"forebrain"	5.83289001416474	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"forebrain and midbrain"	6.04439411935845	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"hindbrain"	3.32192809488736	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"medulla oblongata"	0.678071905112638	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"midbrain"	3.8073549220576	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"spinal cord"	1	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"telencephalon"	5.7279204545632	"p"	10	"p10"	-4.45965851436991	11.6593308592063
"ARX"	"ENSG00000004848"	"10 post conception weeks"	"temporal lobe"	5.75488750216347	"p"	10	"p10"	-4.45965851436991	11.6593308592063
